County,Candidate Name,Party,Election Day Votes,Mail Votes,Provisional Votes,Total Votes,% of Vote
ERIE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
FAYETTE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
FOREST,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
FRANKLIN,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
FULTON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
GREENE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
HUNTINGDON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
INDIANA,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
JEFFERSON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
JUNIATA,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
LACKAWANNA,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
LANCASTER,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
LAWRENCE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
LEBANON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
LEHIGH,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
LUZERNE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
LYCOMING,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
McKEAN,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
MERCER,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
MIFFLIN,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
MONROE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
MONTGOMERY,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
MONTOUR,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
NORTHAMPTON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
NORTHUMBERLAND,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
PERRY,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
PHILADELPHIA,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
PIKE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
POTTER,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
SCHUYLKILL,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
SNYDER,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
SOMERSET,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
SULLIVAN,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
SUSQUEHANNA,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
TIOGA,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
UNION,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
VENANGO,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
WARREN,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
WASHINGTON,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
WAYNE,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
WESTMORELAND,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
WYOMING,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
YORK,"WASSMER, DANIEL",LIB,0,0,0,0,0.00
ADAMS,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
ALLEGHENY,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
ARMSTRONG,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
BEAVER,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
BEDFORD,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
BERKS,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
BLAIR,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
BRADFORD,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
BUCKS,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
BUTLER,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CAMBRIA,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CAMERON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CARBON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CENTRE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CHESTER,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CLARION,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CLEARFIELD,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CLINTON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
COLUMBIA,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CRAWFORD,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
CUMBERLAND,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
DAUPHIN,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
DELAWARE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
ELK,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
ERIE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
FAYETTE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
FOREST,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
FRANKLIN,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
FULTON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
GREENE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
HUNTINGDON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
INDIANA,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
JEFFERSON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
JUNIATA,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
LACKAWANNA,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
LANCASTER,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
LAWRENCE,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
LEBANON,"WEISS, RICHARD  L",GRN,0,0,0,0,0.00
